household_id,appliance_type,power_rating,star_rating,daily_hours,room_size,household_size,location_type,income_bracket,house_type,season,daily_consumption,monthly_consumption,monthly_cost,efficiency_score,usage_pattern,appliance_age,brand_tier,total_monthly_bill,cost_per_kwh,consumption_per_watt,efficiency_ratio
1,Refrigerator,234,4,18.0,278,3,Rural,Middle,Apartment,Monsoon,3.731,111.94,727.59,80,Heavy,2,Budget,5661.349999999999,6.499821332856888,15.944444444444445,17.094017094017094
1,Television,148,5,5.56,91,3,Rural,Middle,Apartment,Monsoon,0.701,21.04,136.77,100,Regular,5,Standard,5661.349999999999,6.500475285171103,4.736486486486486,33.78378378378378
1,LED Lights,17,5,11.17,103,3,Rural,Middle,Apartment,Monsoon,0.14,4.2,27.33,100,Heavy,8,Budget,5661.349999999999,6.507142857142856,8.23529411764706,294.11764705882354
1,Ceiling Fan,72,3,11.88,158,3,Rural,Middle,Apartment,Monsoon,0.862,25.87,168.16,60,Heavy,9,Standard,5661.349999999999,6.50019327406262,11.972222222222223,41.66666666666667
1,Air Conditioner,1757,3,12.68,278,3,Rural,Middle,Apartment,Monsoon,20.815,624.45,4058.91,60,Heavy,7,Standard,5661.349999999999,6.499975978861397,11.846898121798521,1.707455890722823
1,Washing Machine,725,4,1.54,290,3,Rural,Middle,Apartment,Monsoon,0.962,28.87,187.64,80,Regular,1,Standard,5661.349999999999,6.499480429511603,1.3268965517241378,5.517241379310345
1,Microwave,1185,4,1.58,106,3,Rural,Middle,Apartment,Monsoon,1.82,54.61,354.95,80,Regular,6,Budget,5661.349999999999,6.4997253250320455,1.5358649789029535,3.375527426160337
2,Refrigerator,161,2,18.0,124,3,Urban,Middle,Apartment,Winter,3.713,111.38,723.99,40,Heavy,5,Standard,2267.01,6.5001795654516075,23.062111801242235,12.422360248447205
2,Television,125,4,5.0,200,3,Urban,Middle,Apartment,Winter,0.516,15.49,100.65,80,Regular,3,Standard,2267.01,6.497740477727566,4.128,32.0
2,LED Lights,13,4,7.73,138,3,Urban,Middle,Apartment,Winter,0.087,2.6,16.93,80,Regular,3,Budget,2267.01,6.5115384615384615,6.692307692307692,307.6923076923077
2,Ceiling Fan,72,5,15.63,135,3,Urban,Middle,Apartment,Winter,0.849,25.47,165.58,100,Heavy,4,Standard,2267.01,6.500981546917943,11.791666666666666,69.44444444444444
2,Air Conditioner,1466,4,3.82,358,3,Urban,Middle,Apartment,Winter,4.692,140.75,914.86,80,Regular,9,Budget,2267.01,6.4998934280639435,3.200545702592087,2.728512960436562
2,Washing Machine,472,3,1.28,210,3,Urban,Middle,Apartment,Winter,0.626,18.77,121.99,60,Regular,9,Standard,2267.01,6.499200852424081,1.326271186440678,6.3559322033898304
2,Microwave,830,4,1.7,243,3,Urban,Middle,Apartment,Winter,1.144,34.31,223.01,80,Regular,3,Standard,2267.01,6.499854269892159,1.378313253012048,4.819277108433735
3,Refrigerator,198,2,24.0,196,4,Urban,High,Independent House,Monsoon,5.231,156.93,1020.05,40,Heavy,8,Budget,8123.45,6.50003186133945,26.419191919191917,10.1010101010101
3,Television,174,3,8.55,229,4,Urban,High,Independent House,Monsoon,1.592,47.77,310.51,60,Heavy,9,Budget,8123.45,6.5001046682018,9.149425287356323,17.24137931034483
3,LED Lights,20,4,10.16,105,4,Urban,High,Independent House,Monsoon,0.166,4.98,32.37,80,Heavy,7,Budget,8123.45,6.499999999999999,8.3,200.0
3,Ceiling Fan,75,3,11.79,86,4,Urban,High,Independent House,Monsoon,0.848,25.44,165.38,60,Heavy,8,Budget,8123.45,6.500786163522012,11.306666666666667,40.0
3,Air Conditioner,1726,2,9.79,395,4,Urban,High,Independent House,Monsoon,20.376,611.27,3973.27,40,Heavy,7,Premium,8123.45,6.500024539074387,11.805330243337197,1.1587485515643106
3,Washing Machine,558,5,2.12,152,4,Urban,High,Independent House,Monsoon,0.984,29.52,191.91,100,Regular,8,Standard,8123.45,6.501016260162602,1.7634408602150538,8.960573476702509
